us,flow,size
1746368431987443,1,1024
1746368431989508,2,512
1746368431990557,2,512
1746368431992049,1,1024
1746368431994151,2,512
1746368431995163,2,512
1746368431996219,1,1024
1746368431998318,2,512
1746368431999371,2,512
1746368432001044,1,1024
1746368432003121,2,512
1746368432004192,2,512
1746368432005899,1,1024
1746368432007958,2,512
1746368432009058,2,512
1746368432010111,1,1024
1746368432012192,2,512
1746368432013230,2,512
1746368432014921,1,1024
1746368432017004,2,512
1746368432018056,2,512
1746368432019745,1,1024
1746368432021816,2,512
1746368432022862,2,512
1746368432023887,1,1024
1746368432025978,2,512
1746368432027683,2,512
1746368432028716,1,1024
1746368432030789,2,512
1746368432031895,2,512
1746368432033580,1,1024
1746368432035344,2,512
1746368432037023,2,512
1746368432038058,1,1024
1746368432040142,2,512
1746368432041864,2,512
1746368432042904,1,1024
1746368432044976,2,512
1746368432046654,1,1024
1746368432048720,2,512
1746368432049786,2,512
1746368432050821,2,512
1746368432051873,1,1024
1746368432054039,2,512
1746368432055747,1,1024
1746368432057830,2,512
1746368432058912,2,512
1746368432060433,1,1024
1746368432062505,2,512
1746368432063579,2,512
1746368432064607,1,1024
1746368432066676,2,512
1746368432067733,2,512
1746368432069344,1,1024
1746368432071416,2,512
1746368432072484,2,512
1746368432073546,1,1024
1746368432075644,2,512
1746368432077323,2,512
1746368432078368,1,1024
1746368432080400,2,512
1746368432082093,2,512
1746368432083145,1,1024
1746368432085228,2,512
1746368432086893,2,512
1746368432087938,1,1024
1746368432090013,2,512
1746368432091695,2,512
1746368432092805,1,1024
1746368432094875,2,512
1746368432095918,2,512
1746368432096963,1,1024
1746368432098667,2,512
1746368432100991,1,1024
1746368432103057,2,512
1746368432104102,2,512
1746368432105789,1,1024
1746368432107602,2,512
1746368432108674,2,512
1746368432110372,1,1024
1746368432112433,2,512
1746368432113332,2,512
1746368432115022,1,1024
1746368432117092,2,512
1746368432118249,2,512
1746368432119303,1,1024
1746368432121391,2,512
1746368432122423,2,512
1746368432124110,1,1024
1746368432126195,2,512
1746368432127247,2,512
1746368432128916,1,1024
1746368432131021,2,512
1746368432132054,2,512
1746368432133156,1,1024
1746368432135239,2,512
1746368432136283,2,512
1746368432137975,1,1024
1746368432140061,2,512
1746368432141130,2,512
1746368432142812,1,1024
1746368432144892,2,512
1746368432145949,2,512
1746368432146997,1,1024
1746368432149081,2,512
1746368432150128,2,512
1746368432151847,1,1024
1746368432153918,2,512
1746368432155065,2,512
1746368432156109,1,1024
1746368432158193,2,512
1746368432159887,2,512
1746368432160915,1,1024
1746368432162872,2,512
1746368432164553,2,512
1746368432165591,1,1024
1746368432167657,2,512
1746368432169350,2,512
1746368432170385,1,1024
1746368432172489,2,512
1746368432174162,2,512
1746368432175217,1,1024
1746368432177326,2,512
1746368432179009,2,512
1746368432180044,1,1024
1746368432182122,2,512
1746368432183807,1,1024
1746368432185632,2,512
1746368432186674,2,512
1746368432188350,1,1024
1746368432190414,2,512
1746368432191506,2,512
1746368432192533,1,1024
1746368432194657,2,512
1746368432195728,2,512
1746368432197378,1,1024
1746368432199451,2,512
1746368432200476,2,512
1746368432202158,1,1024
1746368432204236,2,512
1746368432205304,2,512
1746368432206346,1,1024
1746368432208423,2,512
1746368432209494,2,512
1746368432211182,1,1024
1746368432213255,2,512
1746368432214305,2,512
1746368432215342,1,1024
1746368432217218,2,512
1746368432218907,2,512
1746368432219962,1,1024
1746368432222031,2,512
1746368432223765,2,512
1746368432224836,1,1024
1746368432226906,2,512
1746368432228597,2,512
1746368432229654,1,1024
1746368432231735,2,512
1746368432232766,2,512
1746368432233801,1,1024
1746368432235876,2,512
1746368432237553,2,512
1746368432238603,1,1024
1746368432240676,2,512
1746368432242354,2,512
1746368432243399,1,1024
1746368432245497,2,512
1746368432247176,1,1024
1746368432249277,2,512
1746368432250335,2,512
1746368432251376,1,1024
1746368432253456,2,512
1746368432254501,2,512
1746368432255997,1,1024
1746368432257743,2,512
1746368432259486,2,512
1746368432260540,1,1024
1746368432262468,2,512
1746368432264162,2,512
1746368432265207,1,1024
1746368432267213,2,512
1746368432268914,2,512
1746368432269973,1,1024
1746368432271781,2,512
