us,flow,size
1746361372007485,2,512
1746361372007585,1,1024
1746361372007680,2,512
1746361372007777,3,1024
1746361372007865,1,1024
1746361372007982,2,512
1746361372008151,2,512
1746361372008313,2,512
1746361372008630,2,512
1746361372008837,2,512
1746361372008959,3,1024
1746361372009065,1,1024
1746361372009168,2,512
1746361372009281,3,1024
1746361372009390,1,1024
1746361372009505,2,512
1746361372009605,3,1024
1746361372009697,1,1024
1746361372009803,2,512
1746361372009897,3,1024
1746361372009981,1,1024
1746361372010070,2,512
1746361372010151,3,1024
1746361372010233,1,1024
1746361372010325,2,512
1746361372010426,3,1024
1746361372010748,1,1024
1746361372010936,2,512
1746361372011056,1,1024
1746361372011153,2,512
1746361372011248,2,512
1746361372011356,2,512
1746361372011443,2,512
1746361372011525,2,512
1746361372011606,2,512
1746361372011685,2,512
1746361372011765,2,512
1746361372011845,2,512
1746361372011930,2,512
1746361372012009,2,512
1746361372012087,2,512
1746361372012165,2,512
1746361372012241,2,512
1746361372012318,2,512
1746361372012393,2,512
1746361372012465,2,512
1746361372012527,2,512
1746361372557111,2,512
1746361372557726,3,1024
1746361372558105,1,1024
1746361372558649,2,512
1746361372558957,3,1024
1746361372559158,1,1024
1746361372559333,2,512
1746361372559527,3,1024
1746361372559750,1,1024
1746361372559901,2,512
1746361372560034,3,1024
1746361372560159,1,1024
1746361372560325,2,512
1746361372560586,3,1024
1746361372560802,1,1024
1746361372561071,2,512
1746361372561698,3,1024
1746361372562121,1,1024
1746361372562405,2,512
1746361372562641,3,1024
1746361372562839,1,1024
1746361372563036,2,512
1746361372563207,3,1024
1746361372563396,1,1024
1746361372563558,2,512
1746361372563671,3,1024
1746361372563770,1,1024
1746361372563872,2,512
1746361372564008,3,1024
1746361372564121,1,1024
1746361372564221,2,512
1746361372564318,3,1024
1746361372564422,1,1024
1746361372564534,2,512
1746361372564639,3,1024
1746361372564739,1,1024
1746361372564834,2,512
1746361372564933,3,1024
1746361372565042,1,1024
1746361372565172,2,512
1746361372565535,3,1024
1746361372565789,1,1024
1746361372566022,2,512
1746361372566297,3,1024
1746361372566498,1,1024
1746361372566640,2,512
1746361372566753,3,1024
1746361372566877,1,1024
1746361372567066,2,512
1746361372567269,3,1024
1746361372567757,1,1024
1746361372567936,2,512
1746361372568050,3,1024
1746361372568158,1,1024
1746361372568262,2,512
1746361372568363,3,1024
1746361372568458,1,1024
1746361372568598,2,512
1746361372568757,3,1024
1746361372568969,1,1024
1746361372569269,2,512
1746361372569563,3,1024
1746361372569961,1,1024
1746361372570393,2,512
1746361372570626,3,1024
1746361372570783,1,1024
1746361372570910,2,512
1746361372571042,3,1024
1746361372571148,1,1024
1746361372571278,2,512
1746361372571395,3,1024
1746361372571512,1,1024
1746361372571629,2,512
1746361372571737,3,1024
1746361372571893,1,1024
1746361372572021,2,512
1746361372572271,3,1024
1746361372572497,1,1024
1746361372572629,2,512
1746361372572732,3,1024
1746361372572826,1,1024
1746361372572911,2,512
1746361372572996,3,1024
1746361372573082,1,1024
1746361372573164,2,512
1746361372573246,2,512
1746361372573631,2,512
1746361372574486,2,512
1746361372574813,2,512
1746361372574917,2,512
1746361372575003,2,512
1746361372575083,2,512
1746361372575161,2,512
1746361372575237,2,512
1746361372575312,2,512
1746361372575386,2,512
1746361372575461,2,512
1746361372575537,2,512
1746361372575611,2,512
1746361372575687,2,512
1746361372575764,2,512
1746361372575837,2,512
1746361372575913,2,512
1746361372575986,2,512
1746361372576058,2,512
1746361372576125,2,512
1746361372576189,2,512
1746361372576253,2,512
1746361372613912,3,1024
1746361372614416,2,512
1746361372950528,2,512
1746361372951104,1,1024
1746361372951439,2,512
1746361372951678,3,1024
1746361373053362,1,1024
1746361373054129,2,512
1746361373054566,3,1024
1746361373054820,1,1024
1746361373055006,2,512
1746361373055282,3,1024
1746361373055538,1,1024
1746361373055695,2,512
1746361373055834,3,1024
1746361373055960,1,1024
1746361373056079,2,512
1746361373056203,3,1024
1746361373056363,1,1024
1746361373056587,2,512
1746361373056826,3,1024
1746361373057049,1,1024
1746361373057306,2,512
1746361373057559,3,1024
1746361373057955,1,1024
1746361373058555,2,512
1746361373058735,3,1024
1746361373058862,1,1024
1746361373058968,2,512
1746361373059064,3,1024
1746361373059152,1,1024
1746361373059237,2,512
1746361373059321,3,1024
1746361373059405,1,1024
1746361373059486,2,512
1746361373059569,3,1024
1746361373059651,1,1024
1746361373059733,2,512
1746361373059814,3,1024
1746361373059894,1,1024
1746361373059973,2,512
1746361373060052,3,1024
1746361373060132,1,1024
1746361373060211,2,512
1746361373060288,3,1024
1746361373060361,1,1024
1746361373060433,2,512
1746361373060506,3,1024
1746361373060579,1,1024
1746361373060653,2,512
1746361373060727,3,1024
1746361373060801,1,1024
1746361373060874,2,512
1746361373060971,3,1024
1746361373061162,1,1024
1746361373061288,2,512
1746361373061388,3,1024
1746361373061478,1,1024
1746361373061562,2,512
1746361373061643,3,1024
1746361373061724,1,1024
1746361373061808,2,512
1746361373061891,3,1024
1746361373061967,1,1024
1746361373062042,2,512
1746361373062117,3,1024
1746361373062191,1,1024
1746361373062264,2,512
1746361373062331,3,1024
1746361373062395,1,1024
1746361373062515,2,512
1746361373062586,3,1024
1746361373062649,1,1024
1746361373062712,2,512
1746361373062774,3,1024
1746361373062835,1,1024
1746361373062896,2,512
1746361373062960,2,512
1746361373063022,2,512
1746361373063083,2,512
1746361373063144,2,512
1746361373063204,2,512
1746361373063283,2,512
1746361373063348,2,512
1746361373063409,2,512
1746361373063471,2,512
1746361373063532,2,512
1746361373063594,2,512
1746361373063654,2,512
1746361373063717,2,512
1746361373063777,2,512
1746361373063838,2,512
1746361373063898,2,512
1746361373063959,2,512
1746361373064019,2,512
1746361373064079,2,512
1746361374157300,2,512
1746361374158010,3,1024
1746361374158563,1,1024
1746361374158966,2,512
1746361374159189,3,1024
1746361374159361,1,1024
1746361374159541,2,512
1746361374159715,3,1024
1746361374159929,1,1024
1746361374160154,2,512
1746361374160345,3,1024
1746361374160515,1,1024
1746361374160681,2,512
1746361374161011,3,1024
1746361374161213,1,1024
1746361374161400,2,512
1746361374161726,3,1024
1746361374162000,1,1024
1746361374162207,2,512
1746361374162380,3,1024
1746361374162616,1,1024
1746361374162939,2,512
1746361374163241,3,1024
1746361374163427,1,1024
1746361374163669,2,512
1746361374163890,3,1024
1746361374164072,1,1024
1746361374164227,2,512
1746361374164371,3,1024
1746361374164502,1,1024
1746361374164633,2,512
1746361374164762,3,1024
1746361374164899,1,1024
1746361374165037,2,512
1746361374165244,3,1024
1746361374165487,1,1024
1746361374165700,2,512
1746361374165899,3,1024
1746361374166086,1,1024
1746361374166285,2,512
1746361374166483,3,1024
1746361374166703,1,1024
1746361374167020,2,512
1746361374167245,3,1024
1746361374167410,2,512
1746361374167598,1,1024
1746361374167810,2,512
1746361374167995,2,512
1746361374168137,3,1024
1746361374168253,1,1024
1746361374168371,2,512
1746361374168491,3,1024
1746361374168725,1,1024
1746361374169009,2,512
1746361374169276,2,512
1746361374169500,2,512
1746361374169701,3,1024
1746361374169961,1,1024
1746361374170266,2,512
1746361374170544,2,512
1746361374170822,2,512
1746361374171096,3,1024
1746361374171365,1,1024
1746361374171565,2,512
1746361374171749,3,1024
1746361374172050,1,1024
1746361374172239,2,512
1746361374172440,3,1024
1746361374172670,2,512
1746361374172889,2,512
1746361374173162,2,512
1746361374173425,2,512
1746361374173780,2,512
1746361374174088,1,1024
1746361374174519,2,512
1746361374174934,3,1024
1746361374175174,1,1024
1746361374175365,2,512
1746361374175466,3,1024
1746361374175549,1,1024
1746361374175629,2,512
