us,flow,size,rtt_us
1746368431630705,1,1024,0
1746368431635312,1,1024,0
1746368431638067,2,512,0
1746368431639838,1,1024,0
1746368431640457,2,512,0
1746368431642841,2,512,0
1746368431644513,1,1024,0
1746368431645199,2,512,0
1746368431647555,2,512,0
1746368431648801,1,1024,0
1746368431649958,2,512,0
1746368431652284,2,512,0
1746368431653450,1,1024,0
1746368431654626,2,512,0
1746368431657023,2,512,0
1746368431658050,1,1024,0
1746368431659395,2,512,0
1746368431661800,2,512,0
1746368431662664,1,1024,0
1746368431664171,2,512,0
1746368431666602,2,512,0
1746368431667292,1,1024,0
1746368431668951,2,512,0
1746368431671333,2,512,0
1746368431671893,1,1024,0
1746368431673693,2,512,0
1746368431676081,2,512,0
1746368431676487,1,1024,0
1746368431678437,2,512,0
1746368431680770,1,1024,0
1746368431680768,2,512,0
1746368431682923,2,512,0
1746368431685215,1,1024,0
1746368431685327,2,512,0
1746368431687695,2,512,0
1746368431689870,1,1024,0
1746368431690032,2,512,0
1746368431692254,2,512,0
1746368431694473,1,1024,0
1746368431694589,2,512,0
1746368431696928,2,512,0
1746368431699104,1,1024,0
1746368431699266,2,512,0
1746368431701604,2,512,0
1746368431703595,1,1024,0
1746368431703941,2,512,0
1746368431706306,2,512,0
1746368431708263,1,1024,0
1746368431708645,2,512,0
1746368431711007,2,512,0
1746368431712904,1,1024,0
1746368431713342,2,512,0
1746368431715690,2,512,0
1746368431717536,1,1024,0
1746368431717993,2,512,0
1746368431720374,2,512,0
1746368431722181,1,1024,0
1746368431722739,2,512,0
1746368431725089,2,512,0
1746368431726795,1,1024,0
1746368431727478,2,512,0
1746368431729846,2,512,0
1746368431731061,1,1024,0
1746368431732225,2,512,0
1746368431734614,2,512,0
1746368431735276,1,1024,0
1746368431736987,2,512,0
1746368431739368,2,512,0
1746368431739823,1,1024,0
1746368431741728,2,512,0
1746368431744089,2,512,0
1746368431744088,1,1024,0
1746368431746433,2,512,0
1746368431748718,1,1024,0
1746368431748784,2,512,0
1746368431751189,2,512,0
1746368431753359,1,1024,0
1746368431753529,2,512,0
1746368431755883,2,512,0
1746368431758013,1,1024,0
1746368431758236,2,512,0
1746368431760594,2,512,0
1746368431762544,1,1024,0
1746368431762933,2,512,0
1746368431765269,2,512,0
1746368431767157,1,1024,0
1746368431767618,2,512,0
1746368431769978,2,512,0
1746368431771782,1,1024,0
1746368431772317,2,512,0
1746368431774678,2,512,0
1746368431776414,1,1024,0
1746368431777018,2,512,0
1746368431779364,2,512,0
1746368431781026,1,1024,0
1746368431781703,2,512,0
1746368431784052,2,512,0
1746368431785641,1,1024,0
1746368431786501,2,512,0
1746368431788855,2,512,0
1746368431790269,1,1024,0
1746368431791236,2,512,0
1746368431793632,2,512,0
1746368431794888,1,1024,0
1746368431796003,2,512,0
1746368431798364,2,512,0
1746368431799543,1,1024,0
1746368431800719,2,512,0
1746368431803072,2,512,0
1746368431804176,1,1024,0
1746368431805530,2,512,0
1746368431807901,2,512,0
1746368431808911,1,1024,0
1746368431810269,2,512,0
1746368431812646,2,512,0
1746368431813553,1,1024,0
1746368431815009,2,512,0
1746368431817388,2,512,0
1746368431818199,1,1024,0
1746368431819744,2,512,0
1746368431822095,2,512,0
1746368431822841,1,1024,0
1746368431824441,2,512,0
1746368431826797,2,512,0
1746368431827496,1,1024,0
1746368431829212,2,512,0
1746368431831585,2,512,0
1746368431832130,1,1024,0
1746368431833974,2,512,0
1746368431836312,2,512,0
1746368431836604,1,1024,0
1746368431838696,2,512,0
1746368431841058,2,512,0
1746368431841061,1,1024,0
1746368431843435,2,512,0
1746368431845723,1,1024,0
1746368431845850,2,512,0
1746368431848229,2,512,0
1746368431850430,1,1024,0
1746368431850592,2,512,0
1746368431852959,2,512,0
1746368431855080,1,1024,0
1746368431855326,2,512,0
1746368431857713,2,512,0
1746368431859436,1,1024,0
1746368431860094,2,512,0
1746368431862486,2,512,0
1746368431863693,1,1024,0
1746368431864841,2,512,0
1746368431867205,2,512,0
