timestamp,flow_id,packet_size,sequence_number,delay_ms
1749003513.773936,1,1024,201,1.01
1749003513.795323,1,1024,202,1.11
1749003513.7954218,1,1024,203,1.12
1749003513.8156989,1,1024,204,0.65
1749003513.8158069,1,1024,205,0.66
1749003513.838613,1,1024,206,0.86
1749003513.838758,1,1024,207,0.89
1749003513.860429,1,1024,208,0.90
1749003513.860548,1,1024,209,0.83
1749003513.883363,1,1024,210,0.86
1749003513.8834639,1,1024,211,0.83
1749003513.9035819,1,1024,212,0.48
1749003513.903695,1,1024,213,0.48
1749003513.927799,1,1024,214,1.60
1749003513.927907,1,1024,215,1.57
1749003513.9466639,1,1024,216,0.48
1749003513.9479308,1,1024,217,1.52
1749003513.9723022,1,1024,218,0.95
1749003513.972408,1,1024,219,0.93
1749003513.988836,1,1024,220,1.57
1749003513.9938319,1,1024,221,1.50
1749003514.009158,1,1024,222,1.65
1749003514.01295,1,1024,223,0.41
1749003514.032151,1,1024,224,0.81
1749003514.0344262,1,1024,225,1.55
1749003514.057458,1,1024,226,1.48
1749003514.0575979,1,1024,227,1.42
1749003514.0752509,1,1024,228,1.70
1749003514.077604,1,1024,229,0.71
1749003514.098037,1,1024,230,0.43
1749003514.0981371,1,1024,231,0.41
1749003514.122276,1,1024,232,0.52
1749003514.1223838,1,1024,233,0.52
1749003514.1426518,1,1024,234,0.89
1749003514.142776,1,1024,235,0.84
1749003514.167968,1,1024,236,1.14
1749003514.168055,1,1024,237,1.09
1749003514.187059,1,1024,238,1.31
1749003514.188312,1,1024,239,1.01
1749003514.2100952,1,1024,240,1.75
1749003514.210208,1,1024,241,1.73
1749003514.228905,1,1024,242,1.10
1749003514.2303271,1,1024,243,1.59
1749003514.253176,1,1024,244,0.83
1749003514.25333,1,1024,245,0.83
1749003514.271014,1,1024,246,1.18
1749003514.27493,1,1024,247,1.63
1749003514.292734,1,1024,248,0.58
1749003514.2952561,1,1024,249,1.54
1749003514.3184059,1,1024,250,1.73
1749003514.3186061,1,1024,251,1.79
1749003514.337325,1,1024,252,1.70
1749003514.338582,1,1024,253,1.41
1749003514.359767,1,1024,254,1.70
1749003514.359932,1,1024,255,1.71
1749003514.380329,1,1024,256,1.17
1749003514.380537,1,1024,257,1.25
1749003514.404416,1,1024,258,1.34
1749003514.4045708,1,1024,259,1.34
1749003514.423525,1,1024,260,1.63
1749003514.424875,1,1024,261,1.23
1749003514.4465148,1,1024,262,0.77
1749003514.446638,1,1024,263,0.79
1749003514.467175,1,1024,264,1.22
1749003514.467339,1,1024,265,1.25
1749003514.4899352,1,1024,266,0.66
1749003514.489984,1,1024,267,0.65
1749003514.511136,1,1024,268,0.77
1749003514.511162,1,1024,269,0.75
1749003514.533761,1,1024,270,1.00
1749003514.5337758,1,1024,271,0.98
1749003514.5526211,1,1024,272,1.35
1749003514.55387,1,1024,273,0.68
1749003514.573787,1,1024,274,0.25
1749003514.573805,1,1024,275,0.24
1749003514.598939,1,1024,276,0.83
1749003514.598955,1,1024,277,0.83
1749003514.616538,1,1024,278,0.72
1749003514.619047,1,1024,279,0.33
1749003514.6379242,1,1024,280,1.35
1749003514.640429,1,1024,281,1.17
1749003514.658026,1,1024,282,0.55
1749003514.660536,1,1024,283,0.81
1749003514.679403,1,1024,284,1.33
1749003514.6806679,1,1024,285,0.52
1749003514.7003388,1,1024,286,0.51
1749003514.701625,1,1024,287,1.38
1749003514.7207701,1,1024,288,0.76
1749003514.720784,1,1024,289,0.47
1749003514.7424798,1,1024,290,1.41
1749003514.742493,1,1024,291,1.38
1749003514.76294,1,1024,292,1.40
1749003514.7629619,1,1024,293,1.37
1749003514.782121,1,1024,294,0.84
1749003514.7821372,1,1024,295,0.44
1749003514.8038442,1,1024,296,1.39
1749003514.80386,1,1024,297,1.39
1749003514.8268301,1,1024,298,0.29
1749003514.8268511,1,1024,299,0.27
1749003514.844745,1,1024,300,1.34
1749003514.848602,1,1024,301,1.41
1749003514.865209,1,1024,302,1.43
1749003514.86905,1,1024,303,0.96
1749003514.888274,1,1024,304,0.48
1749003514.888335,1,1024,305,0.20
1749003514.9110131,1,1024,306,1.49
1749003514.911072,1,1024,307,1.45
1749003514.934017,1,1024,308,1.19
1749003514.93414,1,1024,309,1.19
1749003514.9529889,1,1024,310,1.49
1749003514.954135,1,1024,311,0.78
1749003514.9760482,1,1024,312,1.56
1749003514.976158,1,1024,313,1.54
1749003514.995466,1,1024,314,1.37
1749003514.995668,1,1024,315,0.85
1749003515.018301,1,1024,316,1.72
1749003515.018372,1,1024,317,1.63
1749003515.039951,1,1024,318,0.69
1749003515.04004,1,1024,319,0.69
1749003515.0626502,1,1024,320,1.51
1749003515.062746,1,1024,321,1.52
1749003515.08556,1,1024,322,1.62
1749003515.0856519,1,1024,323,1.61
1749003515.1035662,1,1024,324,0.87
1749003515.104884,1,1024,325,0.40
1749003515.126683,1,1024,326,1.29
1749003515.1267872,1,1024,327,1.31
1749003515.1469052,1,1024,328,1.48
1749003515.147006,1,1024,329,1.47
1749003515.1700191,1,1024,330,1.53
1749003515.170122,1,1024,331,1.52
1749003515.1906052,1,1024,332,0.77
1749003515.190727,1,1024,333,0.81
1749003515.210909,1,1024,334,1.50
1749003515.211005,1,1024,335,0.91
1749003515.2328682,1,1024,336,1.50
1749003515.232973,1,1024,337,1.52
1749003515.2518568,1,1024,338,0.85
1749003515.253176,1,1024,339,1.55
1749003515.276445,1,1024,340,0.51
1749003515.276531,1,1024,341,0.51
1749003515.295771,1,1024,342,0.48
1749003515.297102,1,1024,343,0.85
1749003515.318673,1,1024,344,0.94
1749003515.3187652,1,1024,345,0.92
1749003515.341845,1,1024,346,0.92
1749003515.34194,1,1024,347,0.94
1749003515.359861,1,1024,348,1.51
1749003515.362453,1,1024,349,0.81
1749003515.381732,1,1024,350,1.54
1749003515.383014,1,1024,351,1.13
1749003515.403361,1,1024,352,1.53
1749003515.403466,1,1024,353,1.51
1749003515.4265852,1,1024,354,1.50
1749003515.426699,1,1024,355,1.52
1749003515.443054,1,1024,356,0.44
1749003515.445627,1,1024,357,0.34
1749003515.4660091,1,1024,358,0.88
1749003515.4661,1,1024,359,0.71
1749003515.4879549,1,1024,360,1.52
1749003515.488058,1,1024,361,1.54
1749003515.508369,1,1024,362,1.65
1749003515.508511,1,1024,363,1.68
1749003515.527487,1,1024,364,0.65
1749003515.5275588,1,1024,365,0.62
1749003515.5531452,1,1024,366,1.25
1749003515.553243,1,1024,367,1.21
1749003515.5697122,1,1024,368,0.58
1749003515.573619,1,1024,369,0.81
1749003515.591959,1,1024,370,1.99
1749003515.594384,1,1024,371,0.75
1749003515.6146162,1,1024,372,0.41
1749003515.61467,1,1024,373,0.37
1749003515.6362062,1,1024,374,1.45
1749003515.63628,1,1024,375,1.46
1749003515.657829,1,1024,376,0.84
1749003515.65787,1,1024,377,0.83
1749003515.67961,1,1024,378,0.55
1749003515.679635,1,1024,379,0.50
1749003515.702518,1,1024,380,0.96
1749003515.702544,1,1024,381,0.95
1749003515.724129,1,1024,382,0.56
1749003515.72417,1,1024,383,0.56
1749003515.743194,1,1024,384,1.43
1749003515.744475,1,1024,385,0.36
1749003515.7673988,1,1024,386,1.18
1749003515.767427,1,1024,387,1.17
1749003515.7890172,1,1024,388,0.37
1749003515.789047,1,1024,389,0.35
1749003515.8118458,1,1024,390,1.36
1749003515.811879,1,1024,391,1.33
1749003515.8295748,1,1024,392,0.21
1749003515.832154,1,1024,393,1.30
1749003515.8550599,1,1024,394,0.95
1749003515.855084,1,1024,395,0.93
1749003515.875318,1,1024,396,0.24
1749003515.875356,1,1024,397,0.19
1749003515.899413,1,1024,398,0.48
1749003515.899436,1,1024,399,0.43
1749003515.9172962,1,1024,400,0.91
1749003515.921154,1,1024,401,1.34
1749003515.9377549,1,1024,402,1.16
1749003515.94161,1,1024,403,1.30
1749003515.958178,1,1024,404,1.42
1749003515.962035,1,1024,405,0.81
1749003515.9811819,1,1024,406,0.48
1749003515.982483,1,1024,407,1.07
1749003516.002919,1,1024,408,0.28
1749003516.002961,1,1024,409,0.28
1749003516.027105,1,1024,410,1.47
1749003516.027179,1,1024,411,1.48
1749003516.047617,1,1024,412,0.61
1749003516.047691,1,1024,413,0.53
1749003516.069041,1,1024,414,1.43
1749003516.0691159,1,1024,415,1.40
1749003516.0892951,1,1024,416,1.47
1749003516.08938,1,1024,417,1.46
1749003516.111116,1,1024,418,0.70
1749003516.1112168,1,1024,419,0.68
1749003516.130517,1,1024,420,0.33
1749003516.131814,1,1024,421,1.13
1749003516.153236,1,1024,422,0.87
1749003516.1533382,1,1024,423,0.89
1749003516.176619,1,1024,424,1.30
1749003516.176737,1,1024,425,1.29
1749003516.194284,1,1024,426,1.18
1749003516.196654,1,1024,427,0.56
1749003516.215585,1,1024,428,1.47
1749003516.216952,1,1024,429,0.33
1749003516.237503,1,1024,430,0.66
1749003516.23761,1,1024,431,0.66
1749003516.263211,1,1024,432,1.61
1749003516.263284,1,1024,433,1.57
1749003516.282527,1,1024,434,1.68
1749003516.2826,1,1024,435,0.65
1749003516.3017652,1,1024,436,0.42
1749003516.303036,1,1024,437,0.86
1749003516.324718,1,1024,438,1.07
1749003516.3247712,1,1024,439,1.05
1749003516.3476129,1,1024,440,0.74
1749003516.347643,1,1024,441,0.69
1749003516.365464,1,1024,442,1.20
1749003516.367996,1,1024,443,0.34
1749003516.38973,1,1024,444,1.28
1749003516.389751,1,1024,445,1.27
1749003516.4113338,1,1024,446,0.27
1749003516.4113631,1,1024,447,0.24
1749003516.431669,1,1024,448,0.88
1749003516.431694,1,1024,449,0.47
1749003516.4558349,1,1024,450,0.32
1749003516.4558651,1,1024,451,0.31
1749003516.474943,1,1024,452,1.30
1749003516.477464,1,1024,453,1.40
1749003516.499226,1,1024,454,1.14
1749003516.4993658,1,1024,455,1.23
1749003516.518101,1,1024,456,1.38
1749003516.519375,1,1024,457,0.86
1749003516.542041,1,1024,458,0.71
1749003516.5420759,1,1024,459,0.68
1749003516.5635562,1,1024,460,0.72
1749003516.5635872,1,1024,461,0.70
1749003516.5838,1,1024,462,1.46
1749003516.583835,1,1024,463,0.76
1749003516.607857,1,1024,464,0.59
1749003516.607918,1,1024,465,0.48
1749003516.627935,1,1024,466,0.90
1749003516.62796,1,1024,467,0.40
1749003516.649194,1,1024,468,1.36
1749003516.64922,1,1024,469,1.34
1749003516.673197,1,1024,470,0.69
1749003516.673219,1,1024,471,0.68
1749003516.690797,1,1024,472,0.50
1749003516.6933172,1,1024,473,0.20
1749003516.715956,1,1024,474,1.32
1749003516.715987,1,1024,475,1.32
1749003516.736435,1,1024,476,0.65
1749003516.736459,1,1024,477,0.62
1749003516.758136,1,1024,478,0.41
1749003516.758162,1,1024,479,0.39
1749003516.778514,1,1024,480,1.32
